Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Job Openings and Labor Turnover Survey (Labor-Force-Employment-and-Earnings/Job-Openings-and-Labor-Turnover-Survey/gw6h-kfh9),"The Job Openings and Labor Turnover Survey (JOLTS) program produces data on job openings, hires, and separations.","Labor Force, Employment, and Earnings","Separations of workers from employers, Statistics on Employee turnover, Turnover, Labor demand, Job Openings and Labor Turnover, community.health, Quits",80,1,gw6h-kfh9,Monthly,Job openings on last day of month; hires and separations in entire calendar month,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,gw6h-kfh9,,,,329
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Quarterly Census of Employment and Wages (Labor-Force-Employment-and-Earnings/Quarterly-Census-of-Employment-and-Wages/n74w-qc3c),"The Quarterly Census of Employment and Wages (QCEW) program publishes a quarterly count of employment and wages reported by employers covering 98 percent of U.S. jobs, available at the county, MSA, state and national levels by industry.","Labor Force, Employment, and Earnings","Quarterly County Employment and Wages, Employment and Wages, Quarterly Census of ES 202, Quarterly Census of Employment and Wages (QCEW), Average annual wages, Average weekly wages (by county), Census of Employment and Wages, community.health",0,0,n74w-qc3c,Quarterly,Employment for the pay period including the 12th of the month and wages for a calendar quarter,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,n74w-qc3c,,,,318
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Trends in International Mathematics and Science Study (TIMSS) 2007 Grade 8 Raw Data (Education/Trends-in-International-Mathematics-and-Science-St/c75q-5xbb),"This school based assessment provides descriptive data on the educational outcomes of U.S. fourth- and eighth-graders in mathematics and science as well as factors that may be related to achievement in these subject areas. In addition to the assessment, background data is collected from students, their teachers, and schools. TIMSS has been administered every four years since 1995. The United States is one of 57 countries that participated in the study in 2007.",Education,"teachers, schools, students, achievement, fourth grade, science, international comparisons, international education, international scores, mathematics",0,0,c75q-5xbb,every four years,2007,Department of Education,National Center for Education Statistics,Y,N,Raw Data Catalog,c75q-5xbb,,,,1617
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,TOXMAP : online toxicology maps. (Health-and-Nutrition/TOXMAP-online-toxicology-maps-/3zb7-374y),"TOXMAP(r) is a Geographic Information System (GIS) that uses maps of the United States to help users visually explore data from the EPA's Toxics Release Inventory (TRI) and Superfund Programs.  TOXMAP helps users create nationwide, regional, or local area maps showing where TRI chemicals are released on-site into the air, water, and ground. It also provides facility and release details, color-codes release amounts for a single year or year range, and aggregates release data over multiple years. Maps also show locations of Superfund National Priority List (NPL) sites, listing all chemical contaminants present at these sites.",Health and Nutrition,"TRI, Geographic Information System, environmental map, NPL, map, Environmental Health, Pollution, Superfund, chemical map, Toxic Releases, Hazardous Substances, community.health",0,0,3zb7-374y,As needed,1988 to Most recent available,Department of Health and Human Services,National Library of Medicine,N,N,Tool Catalog,3zb7-374y,,,,1253
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,SSA State Agency Workload Data (Social-Insurance-and-Human-Services/SSA-State-Agency-Workload-Data/c7qv-j5sy),"The dataset is revised and expanded from 4 to 71 data fields.  It includes monthly data from October 2000 onwards for SSA disability cases that were referred to the state agency for a disability determination.  When first released, initial claims information was available, but now new information is included on reconsideration and continuing disability review cases, with breakouts by claim title (SSDI, SSI) for each case type.  Specific data elements for each state are receipts, end of month pending  counts, decisions, and the number of decisions which were allowances.",Social Insurance and Human Services,"pending, allowances, SSA, DDS, decisions, State Agency, disability, initial disability claim, receipts",0,0,c7qv-j5sy,Monthly,October 2000 - Present,Social Security Administration,,Y,N,Raw Data Catalog,c7qv-j5sy,,,,1523
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Business Employment Dynamics (Labor-Force-Employment-and-Earnings/Business-Employment-Dynamics/4rta-p3s8),"Business Employment Dynamics is a set of statistics generated from the Quarterly Census of Employment and Wages, or ES-202, program. These quarterly data series consist of gross job gains and gross job losses statistics from 1992 forward. These data help to provide a picture of the dynamic state of the labor market.","Labor Force, Employment, and Earnings","Opening establishments, Contracting establishments, business Expanding establishments, Business Employment Dynamics, Gross job losses, Employment dynamics, Gross job gains, community.health, Closing establishments",0,0,4rta-p3s8,Quarterly,Changes in employment from the third month of one quarter to the third month of the next,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,4rta-p3s8,,,,316
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Home Health Compare (Social-Insurance-and-Human-Services/Home-Health-Compare/hwsz-gp5w),"The data that is used by the Home Health Compare tool can be downloaded for public use.  This functionality is primarily used by health policy researchers and the media. The data provided includes demographics, Medicare-certified services, quality measures, state averages for measures, and zip codes in which each home health agency has provided services to. The data used to calculate the quality measures will be refreshed the third month of each quarter and represent a rolling 12 months of data.",Social Insurance and Human Services,"home health agencies, Home Health Quality Measures, Home Health Agency, Home Health, Home Health Compare, Health, Quality Measures, community.health",0,0,hwsz-gp5w,Quarterly,2008-2009,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Tool Catalog,hwsz-gp5w,,,,462
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,National Water Quality Assessment (NAWQA)  Program (Geography-and-Environment/National-Water-Quality-Assessment-NAWQA-Program/2ydi-hh9h),National scope of NAWQA water-quality sample- and laboratory-result data and other supporting information obtained from NWIS systems hosted by individual Water Science Centers as well as national BioTDB system for aquatic biological data on communities and habitats and stored in a centralized NAWQA Data Warehouse (DWH),Geography and Environment,"groundwater, water chemistry, water level, water resources, streamflow, water data, ground water, water quality, surface water, water quality data",0,0,2ydi-hh9h,varies  - from one-time collection to daily depending on purpose and collection site.,primarily 1991  to present day. Some older data back to 1895,Department of the Interior,US Geological Survey,N,N,Raw Data Catalog,2ydi-hh9h,,,,95
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2005 Toxics Release Inventory data for the state of Alaska (Geography-and-Environment/2005-Toxics-Release-Inventory-data-for-the-state-o/63px-ia4v),Toxics Release Inventory Data.  The Toxics Release Inventory (TRI) is a publicly available EPA database that contains information on toxic chemical releases and waste management activities reported annually by facilities in certain industries as well as federal facilities.,Geography and Environment,"TRI State Data, TRI Data, PBT, Toxic Release Inventory, NAICS, TRI Reporting, section 313, Toxics Release Inventory, TRI Preliminary Data, Chemicals, Toxics Release, pollution prevention, community, TRI, EPCRA, Form R, facilities, Hazardous, toxic chemical release inventory, TRI Report, Toxic Release, source reduction, Toxics, waste management, facility, TRI 2009 Data, 2009, industry, Chemical Pollution, Right to Know, toxic chemicals release inventory, Chemical Release, Chemical, EPCRA 313, industries, Form A, Toxic, community right to know",0,0,63px-ia4v,Annual,Calendar Year 2005,Environmental Protection Agency,,Y,N,Raw Data Catalog,63px-ia4v,,,,3723
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Disaggregated Futures-Only Commitments of Traders (Banking-Finance-and-Insurance/Disaggregated-Futures-Only-Commitments-of-Traders/i9j2-yejy),"The Disaggregated Futures-Only Commitments of Traders dataset provides a breakdown of each week's open interest for agriculture, energy, metals, lumber, and emissions futures markets in which 20 or more traders hold positions equal to or above the reporting levels established by the CFTC.  Open interest is reported separately by reportable and non-reportable positions for Producer/Merchant/Processor/User, Swap Dealers, Managed Money. and Other Reportables holdings, including spreading, changes from the previous report, percents of open interest by category, and numbers of traders.  Agriculture futures market data is also grouped by crop year, where appropriate, and shows the concentration of positions held by the largest four and eight traders.","Banking, Finance, and Insurance","Futures, Brent, Jet Kero, Cocoa, RBOB, Light Sweet, Heating Oil, User, Gold, Silver, Midcon, ISO New England, Spread Swap, Processor, TEXOK, Michcon, RGGI, Crude, NGPL, Cattle, Propane, Swap Dealers, Oats, PJM, Gasoline, Houston Ship, Butane, Sulfur, Natural Gas, Producer, Ethanol, Fuel, Spreading, Electricity, CO2 Allowance, Platinum, Wheat, TCO, Commodity, Merchant, Cinergy, Peak, Pipe Rockies, Sugar, Short, Crack Swap, Dubai, Managed Money, Corn, Sing, Hogs, Naptha, Palladium, Gasoil, Swap, Rice, Carbon, NYISO, Commodities, PSEG, PEPCO, Fuel Oil, LMP, Crude Oil, Coffee, Financial Instrument, Panhandle, Jet, Milk, Basis Swap, Open Interest, WTI, Blendstock, Mt Belvieu, Orange Juice, Henry Hub, Soybean, Cotton, Long, Waha, Copper, Random Length Lumber, Day Ahead",0,0,i9j2-yejy,Daily,Weekly,Commodity Futures Trading Commission,,Y,N,Raw Data Catalog,i9j2-yejy,,,,1320
